"Composite.Variable","Adaptive.Mgmt","Year","Site","alfalfa","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blackberry","blue-eyed grass","broadleaf plantain","buttercup","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","compass plant","corn speedwell","crown vetch","culver's root","cup plant","daisy fleabane","dandelion","deptford pink","dogbane","downy cinquefoil","field milkwort","field mint","field pennycress","fieldcress","flowering spurge","fringed loosestrife","germander","golden alexander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","illinois bundleflower","ironweed","lady's thumb","lead plant","morning glory","moth mullein","multiflora rose","musk thistle","new england aster","old field goldenrod","osier dogwood","oxeye daisy","oxeye sunflower","pale purple coneflower","pale spike lobelia","partridge pea","prairie blazing star","prairie cinquefoil","prairie coreopsis","prairie petunia","prairie ragwort","prairie rose","prairie turnip","pretty bedstraw","purple coneflower","purple milkweed","purple prairie clover","pussy toes","queen anne's lace","rapeseed","rattlesnake master","red clover","ribwort plantain","rosinweed","round-headed bush clover","sawtooth sunflower","self-heal","shepherd's purse","showy goldenrod","showy tick trefoil","slender mountain mint","spiderwort","spotted st. john's wort","st. john's wort","sticky bedstraw","strawberry","sulfur cinquefoil","swamp agrimony","swamp milkweed","swamp vervain","tall coreopsis","tall green milkweed","thimbleweed","venus' looking glass","virginia bunchflower","white campion","white clover","white prairie clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild garlic","wild parsnip","wild quinine","winged loosestrife","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"14-BO","BO","14","KLT",0,0,0,4377,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,0,0,0,0,75,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,17,0,0,0,0,0,0,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,1,223,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,130,0,4,0,50,6,0,2,5049,22,0.663600924985339
"14-BO","BO","14","PAW",0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,45,0,12,0,574,0,0,13,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,123,17,1,31,0,0,95,10,0,36,0,0,86,0,0,0,1,0,13,25,0,9,0,0,0,0,0,85,918,16,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,16,0,812,2,1,0,0,74,0,0,3083,34,2.07139612544172
"14-BO","BO","14","RIN",0,0,0,0,0,22,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,7,0,0,0,0,0,0,0,26,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,478,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,25,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,838,20,1.51410253744696
"14-GB","GB","14","GIL",0,1,0,1467,262,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,10,0,113,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,10,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,1,0,0,0,61,0,2,0,0,0,10,22,3192,22,1.49051838862639
"14-GB","GB","14","LTR",0,1452,0,99,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,2,0,0,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,8,0,0,0,0,0,0,1,0,0,3387,19,1.23709837277136
"14-GB","GB","14","PYW",0,3,0,7613,143,0,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,130,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46,0,0,4,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,6,0,1,0,0,0,0,0,0,2,0,21,8832,23,0.652821532422424
"14-GB","GB","14","STE",0,10,0,2050,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,328,0,0,0,0,9,0,0,0,1,0,0,0,105,0,0,0,0,0,0,1,0,0,0,0,214,0,1,0,0,0,0,0,0,0,0,3,0,35,3135,20,1.25368920971342
"14-H+","H+","14","BSH",0,1,0,382,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,25,0,0,0,0,89,680,16,1.5777251363659
"14-H+","H+","14","DUN",0,0,0,0,0,20,0,0,7,17,0,0,0,0,197,0,4,0,0,0,0,0,0,50,0,17,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1226,0,5,5210,0,8,0,0,30,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,129,0,0,0,0,1,0,0,0,0,0,0,0,0,7444,22,1.05439036597091
"14-H+","H+","14","RC2",17,17,0,3116,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,27,0,0,4349,13,0.883094034052232
